Date,Open,High,Low,Close,Volume
2025-04-14,40546.1484375,40778.2890625,40159.01953125,40524.7890625,667010000
2025-04-15,40527.8203125,40791.1796875,40346.94140625,40368.9609375,529800000
2025-04-16,40179.48828125,40416.80078125,39394.75,39669.390625,737550000
2025-04-17,39745.578125,39745.578125,38950.30859375,39142.23046875,657400000
2025-04-21,38906.0390625,38906.0390625,37830.66015625,38170.41015625,604790000
2025-04-22,38516.23046875,39272.03125,38516.23046875,39186.98046875,582330000
2025-04-23,39815.01171875,40376.109375,39487.140625,39606.5703125,642550000
2025-04-24,39531.05078125,40157.91015625,39371.87109375,40093.3984375,558120000
2025-04-25,40045.73046875,40137.30859375,39718.6796875,40113.5,559040000
2025-04-28,40171.73828125,40414.1796875,39869.1015625,40227.58984375,475930000
2025-04-29,40233.98046875,40630.48828125,40222.1796875,40527.62109375,434830000
2025-04-30,40290.41015625,40777.16015625,39745.62890625,40669.359375,599760000
2025-05-01,40918.0390625,41099.51953125,40705.62890625,40752.9609375,597270000
2025-05-02,40960.421875,41386.19140625,40960.421875,41317.4296875,589870000
2025-05-05,41173.37890625,41445.91015625,41063.44140625,41218.828125,413440000
2025-05-06,41000.19140625,41164.328125,40759.41015625,40829.0,416110000
2025-05-07,40956.078125,41266.91015625,40829.2890625,41113.96875,533870000
2025-05-08,41312.5703125,41773.21875,41167.76171875,41368.44921875,514850000
2025-05-09,41405.48046875,41512.4296875,41150.73046875,41249.37890625,373930000
2025-05-12,41899.05078125,42418.05078125,41899.05078125,42410.1015625,653810000
2025-05-13,42507.328125,42507.328125,42132.0390625,42140.4296875,729860000
2025-05-14,42150.08984375,42254.75,41952.859375,42051.05859375,660230000
2025-05-15,41777.98046875,42351.421875,41777.98046875,42322.75,736430000
2025-05-16,42356.19921875,42663.6796875,42232.55859375,42654.73828125,621250000
2025-05-19,42542.80859375,42842.0390625,42337.7109375,42792.0703125,536830000
2025-05-20,42735.109375,42800.0390625,42485.37109375,42677.23828125,441530000
2025-05-21,42354.4609375,42439.26953125,41785.21875,41860.44140625,607900000
2025-05-22,41763.6796875,42090.421875,41714.4296875,41859.08984375,476080000
2025-05-23,41525.69921875,41788.609375,41354.08984375,41603.0703125,497060000
2025-05-27,41849.0390625,42350.66015625,41849.0390625,42343.6484375,501340000
2025-05-28,42361.62890625,42448.71875,42042.26171875,42098.69921875,518840000
2025-05-29,42190.01953125,42266.0,41828.3515625,42215.73046875,665310000
2025-05-30,42192.3515625,42376.078125,41906.16015625,42270.0703125,796200000
2025-06-02,42199.94140625,42317.0,41853.62109375,42305.48046875,454680000
2025-06-03,42304.5,42568.37890625,42186.44140625,42519.640625,504410000
2025-06-04,42574.12890625,42645.0,42427.73828125,42427.73828125,409600000
2025-06-05,42487.890625,42601.44921875,42211.69140625,42319.73828125,532850000
2025-06-06,42631.8203125,42924.55859375,42582.55078125,42762.87109375,414540000
2025-06-09,42786.19140625,42893.08984375,42567.55078125,42761.76171875,485780000
2025-06-10,42738.26953125,42925.94140625,42710.08984375,42866.87109375,446850000
2025-06-11,42882.859375,43115.69140625,42738.62109375,42865.76953125,467260000
2025-06-12,42737.359375,42970.3984375,42606.421875,42967.62109375,455760000
2025-06-13,42579.48046875,42602.48046875,42081.08984375,42197.7890625,485930000
2025-06-16,42300.12890625,42707.73046875,42300.12890625,42515.08984375,467040000
2025-06-17,42358.62109375,42530.828125,42132.6484375,42215.80078125,423070000
2025-06-18,42236.03125,42510.0703125,42118.23046875,42171.66015625,485440000
2025-06-20,42291.08984375,42432.19140625,42089.98828125,42206.8203125,859840000
2025-06-23,42178.55078125,42609.46875,41981.140625,42581.78125,496750000
2025-06-24,42807.12890625,43183.48046875,42794.078125,43089.01953125,516060000
2025-06-25,43130.328125,43130.328125,42871.5,42982.4296875,527460000
2025-06-26,43084.0703125,43430.98828125,43084.0703125,43386.83984375,536710000
2025-06-27,43505.6015625,43966.37109375,43505.6015625,43819.26953125,921330000
2025-06-30,44020.66015625,44138.69140625,43889.16015625,44094.76953125,623630000
2025-07-01,44061.48828125,44604.1484375,44013.5390625,44494.94140625,593600000
2025-07-02,44455.66015625,44557.8203125,44354.01171875,44484.421875,499870000
2025-07-03,44565.75,44885.828125,44550.421875,44828.53125,346620000
2025-07-07,44803.359375,44803.359375,44160.3203125,44406.359375,442350000
2025-07-08,44378.578125,44436.9609375,44201.37109375,44240.76171875,445670000
2025-07-09,44327.12890625,44556.6796875,44225.87890625,44458.30078125,531790000
2025-07-10,44427.75,44775.46875,44372.921875,44650.640625,452340000
2025-07-11,44480.76953125,44480.76953125,44275.25,44371.51171875,474090000
2025-07-14,44346.1484375,44472.12890625,44237.28125,44459.6484375,410250000
