"","cell_line","COSMIC_ID","drug","log10_dose","viability"
"147","697",906800,"Navitoclax",-0.301,0.179639038495397
"148","697",906800,"Navitoclax",-0.1989,0.0917480409357083
"149","697",906800,"Navitoclax",1e-04,0.00278536014003294
"150","697",906800,"Navitoclax",0.199,0.0724888063978575
"151","697",906800,"Navitoclax",0.301,0.0498861838470099
"152","697",906800,"Navitoclax",0.5,-0.00981554397885293
"153","697",906800,"Navitoclax",0.699,0.157174388214313
"154","697",906800,"Navitoclax",1,0.0112033374521325
"155","769-P",910922,"Navitoclax",-2.6987,0.993064774988557
"156","769-P",910922,"Navitoclax",-2.3008,0.89118895714091
"157","769-P",910922,"Navitoclax",-2.1988,1.00878257371368
"158","769-P",910922,"Navitoclax",-1.9998,0.95650345004671
"159","769-P",910922,"Navitoclax",-1.8008,0.780974637958777
"160","769-P",910922,"Navitoclax",-1.6988,0.996997650519606
"161","769-P",910922,"Navitoclax",-1.4998,0.979838176748956
"162","769-P",910922,"Navitoclax",-1.3009,0.956505892811252
"163","769-P",910922,"Navitoclax",-1.1989,0.977346976263429
"164","769-P",910922,"Navitoclax",-0.9998,1.03530396692079
"165","769-P",910922,"Navitoclax",-0.8009,0.73197625652393
"166","769-P",910922,"Navitoclax",-0.6989,0.889590408664724
"167","769-P",910922,"Navitoclax",-0.4999,0.936070292764245
"168","769-P",910922,"Navitoclax",-0.301,0.740135533641677
"169","769-P",910922,"Navitoclax",-0.1989,0.699688704451288
"170","769-P",910922,"Navitoclax",1e-04,0.778438716180088
"171","769-P",910922,"Navitoclax",0.199,0.421752851136081
"172","769-P",910922,"Navitoclax",0.301,0.397158763340014
"173","769-P",910922,"Navitoclax",0.5,0.445674517985088
"174","769-P",910922,"Navitoclax",0.699,0.413550855289969
"175","769-P",910922,"Navitoclax",1,0.229675581809316
"176","786-0",905947,"Navitoclax",-2.6987,0.972354293016049
"177","786-0",905947,"Navitoclax",-2.3008,0.983051248111914
"178","786-0",905947,"Navitoclax",-2.1988,1.04975796943291
"179","786-0",905947,"Navitoclax",-1.9998,0.961031878945214
"180","786-0",905947,"Navitoclax",-1.8008,1.10786003772822
"181","786-0",905947,"Navitoclax",-1.6988,0.921884349807693
"182","786-0",905947,"Navitoclax",-1.4998,1.00822066974645
"183","786-0",905947,"Navitoclax",-1.3009,0.879521751875824
"184","786-0",905947,"Navitoclax",-1.1989,1.02956647140013
"185","786-0",905947,"Navitoclax",-0.9998,0.967773134773962
"186","786-0",905947,"Navitoclax",-0.8009,0.99216184378069
"187","786-0",905947,"Navitoclax",-0.6989,0.950490438999733
"188","786-0",905947,"Navitoclax",-0.4999,1.0037357846703
"189","786-0",905947,"Navitoclax",-0.301,0.931286499993869
"190","786-0",905947,"Navitoclax",-0.1989,1.04806800970218
"191","786-0",905947,"Navitoclax",1e-04,0.803698767702377
"192","786-0",905947,"Navitoclax",0.199,0.836899454656166
"193","786-0",905947,"Navitoclax",0.301,1.09517563719627
"194","786-0",905947,"Navitoclax",0.5,0.639624400630793
"195","786-0",905947,"Navitoclax",0.699,0.940397095662645
"196","786-0",905947,"Navitoclax",1,0.178962633523357
"197","8-MG-BA",687562,"Navitoclax",-2.6987,0.853555930750256
"198","8-MG-BA",687562,"Navitoclax",-2.3008,0.979967159988641
"199","8-MG-BA",687562,"Navitoclax",-2.1988,0.876436435834186
"200","8-MG-BA",687562,"Navitoclax",-1.9998,1.24939428334457
"201","8-MG-BA",687562,"Navitoclax",-1.8008,1.12523595251191
"202","8-MG-BA",687562,"Navitoclax",-1.6988,1.03091439293665
"203","8-MG-BA",687562,"Navitoclax",-1.4998,1.15482895901393
"204","8-MG-BA",687562,"Navitoclax",-1.3009,0.920370706066431
"205","8-MG-BA",687562,"Navitoclax",-1.1989,0.979981085674749
"206","8-MG-BA",687562,"Navitoclax",-0.9998,1.14268901906172
"207","8-MG-BA",687562,"Navitoclax",-0.8009,1.04700829847536
"208","8-MG-BA",687562,"Navitoclax",-0.6989,1.03845568106612
"209","8-MG-BA",687562,"Navitoclax",-0.4999,0.992382138762437
"210","8-MG-BA",687562,"Navitoclax",-0.301,0.901739505952097
"211","8-MG-BA",687562,"Navitoclax",-0.1989,1.01770726791408
"212","8-MG-BA",687562,"Navitoclax",1e-04,1.13785107269463
"213","8-MG-BA",687562,"Navitoclax",0.199,1.0656394985897
"214","8-MG-BA",687562,"Navitoclax",0.301,0.895072498646291
"215","8-MG-BA",687562,"Navitoclax",0.5,0.854185149059033
"216","8-MG-BA",687562,"Navitoclax",0.699,1.11408841436819
"217","8-MG-BA",687562,"Navitoclax",1,0.405698506022874
"218","8305C",906795,"Navitoclax",-2.6987,1.01103238970174
"219","8305C",906795,"Navitoclax",-2.3008,0.852479415268424
"220","8305C",906795,"Navitoclax",-2.1988,0.941592929427568
"221","8305C",906795,"Navitoclax",-1.9998,0.987545706510205
"222","8305C",906795,"Navitoclax",-1.8008,0.828804296019181
"223","8305C",906795,"Navitoclax",-1.6988,1.0624660364397
"224","8305C",906795,"Navitoclax",-1.4998,1.05008181013149
"225","8305C",906795,"Navitoclax",-1.3009,0.890319982436668
"226","8305C",906795,"Navitoclax",-1.1989,0.957014949093109
"227","8305C",906795,"Navitoclax",-0.9998,1.0596988759863
"228","8305C",906795,"Navitoclax",-0.8009,0.686803110061906
"229","8305C",906795,"Navitoclax",-0.6989,0.958306846028443
"230","8305C",906795,"Navitoclax",-0.4999,0.949027091960861
"231","8305C",906795,"Navitoclax",-0.301,0.71993837110321
"232","8305C",906795,"Navitoclax",-0.1989,0.897856835262634
"233","8305C",906795,"Navitoclax",1e-04,0.87687392248477
"234","8305C",906795,"Navitoclax",0.199,0.672588132604725
"235","8305C",906795,"Navitoclax",0.301,0.892716162040788
"236","8305C",906795,"Navitoclax",0.5,0.771035846951801
"237","8305C",906795,"Navitoclax",0.699,0.615827281852357
"238","8305C",906795,"Navitoclax",1,0.352416551052136
"239","8505C",924102,"Navitoclax",-2.6987,1.02841525205155
"240","8505C",924102,"Navitoclax",-2.3008,0.936387453397635
"241","8505C",924102,"Navitoclax",-2.1988,0.998046082698353
"242","8505C",924102,"Navitoclax",-1.9998,0.896133909337433
"243","8505C",924102,"Navitoclax",-1.8008,0.871924270637694
"244","8505C",924102,"Navitoclax",-1.6988,0.887052486756853
"245","8505C",924102,"Navitoclax",-1.4998,0.849782770521308
"246","8505C",924102,"Navitoclax",-1.3009,0.936387453397635
"247","8505C",924102,"Navitoclax",-1.1989,1.00716318688702
"248","8505C",924102,"Navitoclax",-0.9998,0.945232152285979
"249","8505C",924102,"Navitoclax",-0.8009,0.820373953461987
"250","8505C",924102,"Navitoclax",-0.6989,0.891785756875709
"251","8505C",924102,"Navitoclax",-0.4999,0.91828555811432
"252","8505C",924102,"Navitoclax",-0.301,0.878363845902939
"253","8505C",924102,"Navitoclax",-0.1989,0.914991487223524
"254","8505C",924102,"Navitoclax",1e-04,0.922306319617227
"255","8505C",924102,"Navitoclax",0.199,0.791379007241512
"256","8505C",924102,"Navitoclax",0.301,0.840180405814757
"257","8505C",924102,"Navitoclax",0.5,0.690600572884464
"258","8505C",924102,"Navitoclax",0.699,0.404734770896845
"259","8505C",924102,"Navitoclax",1,0.154690503996949
"260","A101D",910921,"Navitoclax",-2.6987,1.041311668293
"261","A101D",910921,"Navitoclax",-2.3008,0.825231234659733
"262","A101D",910921,"Navitoclax",-2.1988,0.993761822076526
"263","A101D",910921,"Navitoclax",-1.9998,1.1154388778088
"264","A101D",910921,"Navitoclax",-1.8008,0.943787091997912
"265","A101D",910921,"Navitoclax",-1.6988,0.911355062671807
"266","A101D",910921,"Navitoclax",-1.4998,1.02108553504443
"267","A101D",910921,"Navitoclax",-1.3009,0.782877198929054
"268","A101D",910921,"Navitoclax",-1.1989,0.915247273821859
"269","A101D",910921,"Navitoclax",-0.9998,0.905743122229864
"270","A101D",910921,"Navitoclax",-0.8009,1.05808982440916
"271","A101D",910921,"Navitoclax",-0.6989,0.737524588031417
"272","A101D",910921,"Navitoclax",-0.4999,0.973876372841736
"273","A101D",910921,"Navitoclax",-0.301,0.689751484383145
"274","A101D",910921,"Navitoclax",-0.1989,0.718928468092278
"275","A101D",910921,"Navitoclax",1e-04,0.86902849505227
"276","A101D",910921,"Navitoclax",0.199,0.67703641298701
"277","A101D",910921,"Navitoclax",0.301,0.694126433708333
"278","A101D",910921,"Navitoclax",0.5,0.659332739473336
"279","A101D",910921,"Navitoclax",0.699,0.592372644910306
"280","A101D",910921,"Navitoclax",1,0.166609446421814
"281","A172",687563,"Navitoclax",-2.6987,0.88515303431026
"282","A172",687563,"Navitoclax",-2.3008,0.708013785953458
"283","A172",687563,"Navitoclax",-2.1988,1.00901447267847
"284","A172",687563,"Navitoclax",-1.9998,0.897833885615684
"285","A172",687563,"Navitoclax",-1.8008,0.837820306261121
"286","A172",687563,"Navitoclax",-1.6988,1.0695133548408
"287","A172",687563,"Navitoclax",-1.4998,0.860379800818574
"288","A172",687563,"Navitoclax",-1.3009,0.989163175812937
"289","A172",687563,"Navitoclax",-1.1989,1.12711841902226
"290","A172",687563,"Navitoclax",-0.9998,0.953991807058686
"291","A172",687563,"Navitoclax",-0.8009,0.972334225310674
"292","A172",687563,"Navitoclax",-0.6989,1.07816466484607
"293","A172",687563,"Navitoclax",-0.4999,0.946519554701394
"294","A172",687563,"Navitoclax",-0.301,0.848588480883198
"295","A172",687563,"Navitoclax",-0.1989,1.17031468117404
"296","A172",687563,"Navitoclax",1e-04,1.08505789809591
"297","A172",687563,"Navitoclax",0.199,0.932968603331605
"298","A172",687563,"Navitoclax",0.301,0.988848178624359
"299","A172",687563,"Navitoclax",0.5,0.983927227993179
"300","A172",687563,"Navitoclax",0.699,0.893602981352537
"301","A172",687563,"Navitoclax",1,0.362430760188848
"302","A204",910784,"Navitoclax",-2.6987,0.904328755140128
"303","A204",910784,"Navitoclax",-2.3008,1.09232348244858
"304","A204",910784,"Navitoclax",-2.1988,0.888397617269696
"305","A204",910784,"Navitoclax",-1.9998,0.970355504206225
"306","A204",910784,"Navitoclax",-1.8008,1.15610188450471
"307","A204",910784,"Navitoclax",-1.6988,1.08287885672457
"308","A204",910784,"Navitoclax",-1.4998,0.964362680054112
"309","A204",910784,"Navitoclax",-1.3009,0.977139344052325
"310","A204",910784,"Navitoclax",-1.1989,1.01464504366488
"311","A204",910784,"Navitoclax",-0.9998,1.00034438870296
"312","A204",910784,"Navitoclax",-0.8009,0.91131676244311
"313","A204",910784,"Navitoclax",-0.6989,0.988481808282444
"314","A204",910784,"Navitoclax",-0.4999,0.888437064969904
"315","A204",910784,"Navitoclax",-0.301,0.888680163602674
"316","A204",910784,"Navitoclax",-0.1989,0.917975517752066
"317","A204",910784,"Navitoclax",1e-04,0.924418773618748
"318","A204",910784,"Navitoclax",0.199,0.87224065646
"319","A204",910784,"Navitoclax",0.301,0.927065427634822
"320","A204",910784,"Navitoclax",0.5,0.562769170654043
"321","A204",910784,"Navitoclax",0.699,0.66244328127535
"322","A204",910784,"Navitoclax",1,0.151245403051505
"323","A2058",906792,"Navitoclax",-2.6987,0.98068200394038
"324","A2058",906792,"Navitoclax",-2.3008,0.952567673601638
"325","A2058",906792,"Navitoclax",-2.1988,0.982065701136735
"326","A2058",906792,"Navitoclax",-1.9998,1.01294414324714
"327","A2058",906792,"Navitoclax",-1.8008,0.983687272773417
"328","A2058",906792,"Navitoclax",-1.6988,1.02889520312586
"329","A2058",906792,"Navitoclax",-1.4998,0.990112916933816
"330","A2058",906792,"Navitoclax",-1.3009,0.963878507934292
"331","A2058",906792,"Navitoclax",-1.1989,0.990324643777474
"332","A2058",906792,"Navitoclax",-0.9998,1.00724518598134
"333","A2058",906792,"Navitoclax",-0.8009,1.02049189862548
"334","A2058",906792,"Navitoclax",-0.6989,0.982065701136734
"335","A2058",906792,"Navitoclax",-0.4999,1.06720812764766
"336","A2058",906792,"Navitoclax",-0.301,0.932758908762513
"337","A2058",906792,"Navitoclax",-0.1989,0.946233709156138
"338","A2058",906792,"Navitoclax",1e-04,1.08434039669518
"339","A2058",906792,"Navitoclax",0.199,0.921418464915898
"340","A2058",906792,"Navitoclax",0.301,1.0633434979101
"341","A2058",906792,"Navitoclax",0.5,0.95011402432287
"342","A2058",906792,"Navitoclax",0.699,0.870490100904994
"343","A2058",906792,"Navitoclax",1,0.0706693456335184
"344","A253",906794,"Navitoclax",-2.6987,0.95429895645185
"345","A253",906794,"Navitoclax",-2.3008,0.868639255925113
"346","A253",906794,"Navitoclax",-2.1988,0.968014062913046
"347","A253",906794,"Navitoclax",-1.9998,0.969210479937461
"348","A253",906794,"Navitoclax",-1.8008,0.87798068081933
"349","A253",906794,"Navitoclax",-1.6988,0.985198390274655
"350","A253",906794,"Navitoclax",-1.4998,0.949051169046517
"351","A253",906794,"Navitoclax",-1.3009,0.868639255925113
"352","A253",906794,"Navitoclax",-1.1989,0.945688817533219
"353","A253",906794,"Navitoclax",-0.9998,1.09872959238724
"354","A253",906794,"Navitoclax",-0.8009,0.81920898545166
"355","A253",906794,"Navitoclax",-0.6989,1.0178593974044
"356","A253",906794,"Navitoclax",-0.4999,0.974954991536474
