"","drug","cell_line","log10_dose","viability"
"332","CISPLATIN","1240178",-0.505149978319906,0.832899251645181
"333","CISPLATIN","1240178",-0.204119982655925,0.790065457940635
"334","CISPLATIN","1240178",0.0969100130080564,0.745575424212847
"335","CISPLATIN","1240178",0.397940008672038,0.594895656581079
"336","CISPLATIN","1240178",0.698970004336019,0.660374249224094
"337","CISPLATIN","1240178",1,0.382544744635588
"338","CISPLATIN","753572",-2.39771120224918,0.952730773961078
"339","CISPLATIN","753572",-2.2216199431935,1
"340","CISPLATIN","753572",-1.89774933665299,1
"341","CISPLATIN","753572",-1.72165807759731,1
"342","CISPLATIN","753572",-1.40823996531185,1
"343","CISPLATIN","753572",-1.3977874710568,1
"344","CISPLATIN","753572",-1.22169621200112,1
"345","CISPLATIN","753572",-1.10720996964787,1
"346","CISPLATIN","753572",-0.897825605460608,0.989815700920579
"347","CISPLATIN","753572",-0.806179973983887,0.981255520138553
"348","CISPLATIN","753572",-0.721734346404928,0.866228720318759
"349","CISPLATIN","753572",-0.505149978319906,1
"350","CISPLATIN","753572",-0.397863739864418,0.977466411574451
"351","CISPLATIN","753572",-0.221772480808737,0.996426017918731
"352","CISPLATIN","753572",-0.204119982655925,1
"353","CISPLATIN","753572",0.0969100130080564,0.857975880158981
"354","CISPLATIN","753572",0.102098125731771,0.980220260069755
"355","CISPLATIN","753572",0.278189384787453,1
"356","CISPLATIN","753572",0.397940008672038,0.922102316383725
"357","CISPLATIN","753572",0.602059991327962,0.856528030356774
"358","CISPLATIN","753572",0.698970004336019,0.457419936141374
"359","CISPLATIN","753572",0.778151250383644,0.688166150290232
"360","CISPLATIN","753572",1,0.499288306007742
"361","CISPLATIN","905934",-2.39771120224918,0.965560583912693
"362","CISPLATIN","905934",-2.2216199431935,1
"363","CISPLATIN","905934",-1.89774933665299,0.944864566144775
"364","CISPLATIN","905934",-1.72165807759731,0.966263202779138
"365","CISPLATIN","905934",-1.40823996531185,1
"366","CISPLATIN","905934",-1.3977874710568,1
"367","CISPLATIN","905934",-1.22169621200112,0.931550741665465
"368","CISPLATIN","905934",-1.10720996964787,1
"369","CISPLATIN","905934",-0.897825605460608,1
"370","CISPLATIN","905934",-0.806179973983887,1
"371","CISPLATIN","905934",-0.721734346404926,1
"372","CISPLATIN","905934",-0.505149978319906,1
"373","CISPLATIN","905934",-0.397863739864418,0.97080900411195
"374","CISPLATIN","905934",-0.221772480808737,1
"375","CISPLATIN","905934",-0.204119982655925,1
"376","CISPLATIN","905934",0.0969100130080564,0.810880963188001
"377","CISPLATIN","905934",0.102098125731771,0.960459943452366
"378","CISPLATIN","905934",0.278189384787453,1
"379","CISPLATIN","905934",0.397940008672038,0.73860301437057
"380","CISPLATIN","905934",0.602059991327962,0.910713790821086
"381","CISPLATIN","905934",0.698970004336019,0.782711903235184
"382","CISPLATIN","905934",0.778151250383644,1
"383","CISPLATIN","905934",1,0.499949638621474
"384","CISPLATIN","924104",-2.39771120224918,1
"385","CISPLATIN","924104",-2.2216199431935,0.928412282376013
"386","CISPLATIN","924104",-1.89774933665299,0.978700678797303
"387","CISPLATIN","924104",-1.72165807759731,1
"388","CISPLATIN","924104",-1.40823996531185,1
"389","CISPLATIN","924104",-1.3977874710568,0.950133203788929
"390","CISPLATIN","924104",-1.22169621200112,0.974793916412192
"391","CISPLATIN","924104",-1.10720996964787,0.78613195862407
"392","CISPLATIN","924104",-0.897825605460608,0.997690930430752
"393","CISPLATIN","924104",-0.806179973983887,0.951310043899784
"394","CISPLATIN","924104",-0.721734346404926,1
"395","CISPLATIN","924104",-0.505149978319906,1
"396","CISPLATIN","924104",-0.397863739864418,1
"397","CISPLATIN","924104",-0.221772480808737,0.967629577124222
"398","CISPLATIN","924104",-0.204119982655925,0.905116355695798
"399","CISPLATIN","924104",0.0969100130080564,1
"400","CISPLATIN","924104",0.102098125731771,0.945864020140068
"401","CISPLATIN","924104",0.278189384787453,1
"402","CISPLATIN","924104",0.397940008672038,0.78724466907426
"403","CISPLATIN","924104",0.602059991327962,0.961250442313435
"404","CISPLATIN","924104",0.698970004336019,0.751216617119093
"405","CISPLATIN","924104",0.778151250383644,0.939121477040842
"406","CISPLATIN","924104",1,1
"407","CISPLATIN","1240174",-2.39771120224918,0.998423344798182
"408","CISPLATIN","1240174",-2.2216199431935,1
"409","CISPLATIN","1240174",-1.89774933665299,0.972388428564673
"410","CISPLATIN","1240174",-1.72165807759731,1
"411","CISPLATIN","1240174",-1.40823996531185,1
"412","CISPLATIN","1240174",-1.3977874710568,0.909616196129943
"413","CISPLATIN","1240174",-1.22169621200112,0.953735889454696
"414","CISPLATIN","1240174",-1.10720996964787,1
"415","CISPLATIN","1240174",-0.897825605460608,0.992294133469157
"416","CISPLATIN","1240174",-0.806179973983887,1
"417","CISPLATIN","1240174",-0.721734346404926,1
"418","CISPLATIN","1240174",-0.505149978319906,1
"419","CISPLATIN","1240174",-0.397863739864418,0.987701968944004
"420","CISPLATIN","1240174",-0.221772480808737,0.936848238542415
"421","CISPLATIN","1240174",-0.204119982655925,0.961340982540106
"422","CISPLATIN","1240174",0.0969100130080564,1
"423","CISPLATIN","1240174",0.102098125731771,0.957074888185342
"424","CISPLATIN","1240174",0.278189384787453,0.940239900650321
"425","CISPLATIN","1240174",0.397940008672038,1
"426","CISPLATIN","1240174",0.602059991327962,0.921874618787995
"427","CISPLATIN","1240174",0.698970004336019,1
"428","CISPLATIN","1240174",0.778151250383644,1
"429","CISPLATIN","1240174",1,1
"430","CISPLATIN","753566",-2.39771120224918,0.889649898439313
"431","CISPLATIN","753566",-2.2216199431935,0.887666983394502
"432","CISPLATIN","753566",-1.89774933665299,0.919879058850577
"433","CISPLATIN","753566",-1.72165807759731,0.96194284357389
"434","CISPLATIN","753566",-1.40823996531185,1
"435","CISPLATIN","753566",-1.3977874710568,0.96087035449721
"436","CISPLATIN","753566",-1.22169621200112,1
"437","CISPLATIN","753566",-1.10720996964787,0.97680296463926
"438","CISPLATIN","753566",-0.897825605460608,0.922259764604985
"439","CISPLATIN","753566",-0.806179973983887,0.914733965812081
"440","CISPLATIN","753566",-0.721734346404926,1
"441","CISPLATIN","753566",-0.505149978319906,1
"442","CISPLATIN","753566",-0.397863739864418,0.814543800009184
"443","CISPLATIN","753566",-0.221772480808737,1
"444","CISPLATIN","753566",-0.204119982655925,0.940385327309492
"445","CISPLATIN","753566",0.0969100130080564,0.839856640526662
"446","CISPLATIN","753566",0.102098125731771,0.706773125853116
"447","CISPLATIN","753566",0.278189384787453,1
"448","CISPLATIN","753566",0.397940008672038,0.69283659309039
"449","CISPLATIN","753566",0.602059991327962,0.598533555613955
"450","CISPLATIN","753566",0.698970004336019,0.476796534277784
"451","CISPLATIN","753566",0.778151250383644,1
"452","CISPLATIN","753566",1,0.276207620940338
"453","CISPLATIN","724838",-2.39771120224918,1
"454","CISPLATIN","724838",-2.2216199431935,0.957084214746744
"455","CISPLATIN","724838",-1.89774933665299,0.994389185091927
"456","CISPLATIN","724838",-1.72165807759731,1
"457","CISPLATIN","724838",-1.40823996531185,1
"458","CISPLATIN","724838",-1.3977874710568,1
"459","CISPLATIN","724838",-1.22169621200112,0.989571406865943
"460","CISPLATIN","724838",-1.10720996964787,0.868803525058563
"461","CISPLATIN","724838",-0.897825605460608,0.984674753014372
"462","CISPLATIN","724838",-0.806179973983887,0.876909873455777
"463","CISPLATIN","724838",-0.721734346404928,0.966626735463973
"464","CISPLATIN","724838",-0.505149978319906,0.983770377477152
"465","CISPLATIN","724838",-0.397863739864418,0.928546137364656
"466","CISPLATIN","724838",-0.221772480808737,1
"467","CISPLATIN","724838",-0.204119982655925,0.966629641024086
"468","CISPLATIN","724838",0.0969100130080564,0.731464661708035
"469","CISPLATIN","724838",0.102098125731771,0.981180579210649
"470","CISPLATIN","724838",0.278189384787453,0.966626735463973
"471","CISPLATIN","724838",0.397940008672038,0.688803054962135
"472","CISPLATIN","724838",0.602059991327962,0.700988470808485
"473","CISPLATIN","724838",0.698970004336019,0.5970121809228
"474","CISPLATIN","724838",0.778151250383644,0.620822833343873
"475","CISPLATIN","724838",1,0.233844648821663
"476","CISPLATIN","909776",-2.39771120224918,0.92842934741085
"477","CISPLATIN","909776",-2.2216199431935,0.947799068137236
"478","CISPLATIN","909776",-1.89774933665299,0.902862774784387
"479","CISPLATIN","909776",-1.72165807759731,0.966479797189796
"480","CISPLATIN","909776",-1.40823996531185,1
"481","CISPLATIN","909776",-1.3977874710568,0.901884116906012
"482","CISPLATIN","909776",-1.22169621200112,0.976667067739579
"483","CISPLATIN","909776",-1.10720996964787,1
"484","CISPLATIN","909776",-0.897825605460608,0.951934031258202
"485","CISPLATIN","909776",-0.806179973983887,0.915183986933376
"486","CISPLATIN","909776",-0.721734346404928,0.972070771898605
"487","CISPLATIN","909776",-0.721734346404926,1
